id,supplier_number,company_name,contact_name,email,phone,country,payment_terms_days
b349f45f-c411-5d53-ad24-73a5d4a16b03,SUP-0027,"Cobb, Lamb and Garrett",Robert Thompson,vendor27@supplier.example,371.341.0251x34240,Canada,45
b8d82bf7-98df-55f2-90af-d6edaf467b55,SUP-0028,Haynes-Hill,Nathan Robinson,vendor28@supplier.example,283.403.1564x6249,United Kingdom,45
c3eb288f-aa48-5608-ae4d-27895afb7ce6,SUP-0029,Perry LLC,Sheila Peters,vendor29@supplier.example,(997)275-5029x917,Canada,30
ad0f30d8-bee4-5981-ae27-11aeb07094ef,SUP-0030,Oconnor-Sanchez,Randy Klein,vendor30@supplier.example,001-708-301-4605x279,Canada,45
8a74346a-194f-526b-8765-f2202fdb3c42,SUP-0031,Griffin Inc,Margaret Johnson,vendor31@supplier.example,5384673968,India,30
e50776ae-986d-5b5d-ad63-398505fcd71a,SUP-0032,Moore Ltd,Teresa Vaughn,vendor32@supplier.example,393-387-0835x2935,Canada,60
1284ac8c-fae5-5c77-bc35-8f343b661acb,SUP-0033,"Williams, Hamilton and Davis",Kim Hines,vendor33@supplier.example,475-355-1085x9199,United Kingdom,30
34e0628a-5e1e-5d9f-b4bb-a7eb90ac7ed4,SUP-0034,Haas-Rodriguez,William Reed,vendor34@supplier.example,242.516.7360x7736,United Kingdom,60
da264dcc-c46a-5cad-afc9-dfabb6d7fb57,SUP-0035,Carpenter-Ross,Jason Cruz,vendor35@supplier.example,(626)409-0253x5415,United States,15
e7bbd5e6-3dcb-5a1c-93c2-a0d8f4df324a,SUP-0036,Jensen-Figueroa,Christopher Sanders,vendor36@supplier.example,703-223-3820x5122,United Kingdom,60
99a38318-4361-5d0f-80c1-7c4d37006898,SUP-0037,Sims-Gonzales,Christopher Brown,vendor37@supplier.example,001-739-453-1374x32946,United States,30
7ca0e407-2370-5762-b9bd-0044d2878589,SUP-0038,"Martinez, Black and Parks",Jocelyn Young,vendor38@supplier.example,732.876.1015,United States,60
36dca310-70e2-57d2-a46e-2475011a2337,SUP-0039,"Walker, Carey and Brown",Terri Torres,vendor39@supplier.example,605-912-0034,United States,15
6ce4fdec-6977-5835-9d20-82849182b197,SUP-0040,"Logan, West and Stewart",Richard Oliver,vendor40@supplier.example,001-850-774-0132,United Kingdom,45
1c126282-57bb-54c2-9b46-c5d44a6424ff,SUP-0041,Edwards PLC,Earl Montes,vendor41@supplier.example,(445)348-5931x634,Canada,60
0fe7d849-98c0-5f1d-a666-3fabb15b3e03,SUP-0042,Rodriguez-Jackson,Timothy Rose,vendor42@supplier.example,+1-399-330-9627x46125,India,60
da9c2cc5-bcb7-5d93-a38c-15f706e3de54,SUP-0043,Boyer Group,Shelly Myers,vendor43@supplier.example,(629)651-2900x9477,Canada,15
c37dd0c8-2719-5826-b027-2a83950a5f4d,SUP-0044,Waters Ltd,Donna Gray,vendor44@supplier.example,(768)272-3572x4235,Canada,45
ca848b39-d509-59f5-b229-c6dafe072a30,SUP-0045,Martinez-Hunt,Vincent Dougherty,vendor45@supplier.example,001-290-818-6550x836,United States,60
87d750bd-18bb-5ebf-80ad-e7ebdc6a8fc1,SUP-0046,"Dean, Campos and Lucas",Jim Rodriguez,vendor46@supplier.example,001-413-784-3648,India,15
e4256b91-7669-5525-813a-f68aa4b9fca8,SUP-0047,"Perez, Holden and Santos",Tommy Black,vendor47@supplier.example,708.303.3195,Germany,45
11510168-ba93-550e-a816-c448d93c6b42,SUP-0048,"Estes, Mcgee and Smith",Christine Underwood,vendor48@supplier.example,+1-459-787-9751x7046,United States,15
7ce4882b-897c-5a6f-8f9c-17504d3eb76a,SUP-0049,Ho-Jones,Keith Anderson,vendor49@supplier.example,722.549.8650x349,United Kingdom,30
6939a2fc-dc0d-59ac-a65b-dde87ee5f658,SUP-0050,"Bennett, White and Soto",Frank Baldwin,vendor50@supplier.example,694-610-1283x57840,Canada,30
